problem,algorithm,dataset,problem_size,algorithm_time(ms),total_time(ms)
set_coverage,SINGLE_PARTITION,accidents.dat,340183,0:00:57.762346,0:01:01.045927
set_coverage,SINGLE_PARTITION,chess.dat,3196,0:00:08.576249,0:00:11.853969
set_coverage,SINGLE_PARTITION,chess_small.dat,221,0:00:08.575783,0:00:11.753092
set_coverage,SINGLE_PARTITION,mushroom.dat,8124,0:00:09.214990,0:00:12.580378
set_coverage,SINGLE_PARTITION,pumsb.dat,49046,0:00:16.420025,0:00:19.750863
set_coverage,SINGLE_PARTITION,retail.dat,88162,0:00:13.374191,0:00:16.733810
set_coverage,SINGLE_SLICE,example.dat,9,0:00:10.742218,0:00:13.911872
set_coverage,SINGLE_SLICE,accidents.dat,340183,0:01:02.201613,0:01:05.478167
set_coverage,SINGLE_SLICE,chess.dat,3196,0:00:11.877736,0:00:15.317941
set_coverage,SINGLE_SLICE,chess_small.dat,221,0:00:11.221964,0:00:15.059530
set_coverage,SINGLE_SLICE,mushroom.dat,8124,0:00:12.132994,0:00:15.757992
set_coverage,SINGLE_SLICE,pumsb.dat,49046,0:00:19.786992,0:00:23.415990
set_coverage,SINGLE_SLICE,retail.dat,88162,0:00:17.249956,0:00:20.872988
matrix,PURE_PYTHON,matrix_small.dat,3,0:00:00.002000,0:00:00.004000
matrix,PURE_PYTHON,matrix.dat,100,0:00:00.005999,0:00:00.006999
matrix,FULL_SPARK,matrix_small.dat,3,0:00:30.419996,0:00:33.934996
matrix,FULL_SPARK,matrix.dat,100,0:00:20.072414,0:00:23.531417
matrix,INTERMEDIATE_COLLECT,matrix_small.dat,3,0:00:16.978637,0:00:20.252928
matrix,INTERMEDIATE_COLLECT,matrix.dat,100,0:00:17.152426,0:00:20.427449
matrix,CONFIG,matrix_small.dat,3,0:00:10.722373,0:00:13.984186
matrix,CONFIG,matrix.dat,100,0:00:10.667944,0:00:13.952471
matrix,SINGLE_PARTITION,matrix_small.dat,3,0:00:08.443465,0:00:11.712507
matrix,SINGLE_PARTITION,matrix.dat,100,0:00:08.652803,0:00:11.920115
matrix,SINGLE_SLICE,matrix_small.dat,3,0:00:10.956351,0:00:14.253727
matrix,SINGLE_SLICE,matrix.dat,100,0:00:11.043423,0:00:14.355924
matrix,PURE_PYTHON,matrix_large.dat,1000,0:00:00.240999,0:00:00.241998
matrix,PURE_PYTHON,matrix_ultra.dat,10000,0:00:17.677972,0:00:17.679972
matrix,FULL_SPARK,matrix_large.dat,1000,0:00:20.653609,0:00:24.039711
matrix,FULL_SPARK,matrix_ultra.dat,10000,0:00:27.184953,0:00:30.354038
matrix,INTERMEDIATE_COLLECT,matrix_large.dat,1000,0:00:17.235322,0:00:20.518911
matrix,INTERMEDIATE_COLLECT,matrix_ultra.dat,10000,0:00:28.668623,0:00:31.947149
matrix,CONFIG,matrix_large.dat,1000,0:00:10.821417,0:00:14.068711
matrix,CONFIG,matrix_ultra.dat,10000,0:00:28.569680,0:00:31.853086
matrix,SINGLE_PARTITION,matrix_large.dat,1000,0:00:08.665241,0:00:11.934820
matrix,SINGLE_PARTITION,matrix_ultra.dat,10000,0:00:19.968611,0:00:23.245019
matrix,SINGLE_SLICE,matrix_large.dat,1000,0:00:10.964095,0:00:14.258189
matrix,SINGLE_SLICE,matrix_ultra.dat,10000,0:00:27.368632,0:00:30.652551
